Task,Code,Layout,Mockup,Parent item,Select,Sub-item
Cart/table toggle,No,No,No,Final Collection Spec (Final%20Collection%20Spec%20370b4fe015dd804aa077cf922c46f1bd.csv),Not started,
Clear all behavior,No,No,No,Final Collection Spec (Final%20Collection%20Spec%20370b4fe015dd804aa077cf922c46f1bd.csv),Not started,
Section layout,No,Yes,Yes,Final Settings Spec (Final%20Settings%20Spec%20370b4fe015dd80b984c5f46c0e04dd8a.csv),Not started,
Dark theme target,No,No,No,Final Settings Spec (Final%20Settings%20Spec%20370b4fe015dd80b984c5f46c0e04dd8a.csv),Not started,
Accent color picker,No,No,No,Final Settings Spec (Final%20Settings%20Spec%20370b4fe015dd80b984c5f46c0e04dd8a.csv),Not started,
UI density,No,No,No,Final Settings Spec (Final%20Settings%20Spec%20370b4fe015dd80b984c5f46c0e04dd8a.csv),Not started,
Optimization controls,No,No,No,Final Settings Spec (Final%20Settings%20Spec%20370b4fe015dd80b984c5f46c0e04dd8a.csv),Not started,
App information realtime,No,No,No,Final Settings Spec (Final%20Settings%20Spec%20370b4fe015dd80b984c5f46c0e04dd8a.csv),Not started,
Language behavior,No,No,No,Final Settings Spec (Final%20Settings%20Spec%20370b4fe015dd80b984c5f46c0e04dd8a.csv),Not started,
Logo / icon path,No,No,No,Final Branding / App Shell Spec (Final%20Branding%20App%20Shell%20Spec%20370b4fe015dd8065afb7c8e42e178fc7.csv),Not started,
Taskbar/titlebar/sidebar logo behavior,No,No,No,Final Branding / App Shell Spec (Final%20Branding%20App%20Shell%20Spec%20370b4fe015dd8065afb7c8e42e178fc7.csv),Not started,
Footer keep / remove decision,No,No,No,Final Branding / App Shell Spec (Final%20Branding%20App%20Shell%20Spec%20370b4fe015dd8065afb7c8e42e178fc7.csv),Not started,
App version 1.0.0 stable,No,No,No,Final Branding / App Shell Spec (Final%20Branding%20App%20Shell%20Spec%20370b4fe015dd8065afb7c8e42e178fc7.csv),Not started,
Back/navigation behavior,No,No,No,Final Branding / App Shell Spec (Final%20Branding%20App%20Shell%20Spec%20370b4fe015dd8065afb7c8e42e178fc7.csv),Not started,
Low-end pc target,No,No,No,Final Performance Spec (Final%20Performance%20Spec%20370b4fe015dd80b6ac39eef9a58b22d2.csv),Not started,
Lazy load strategy,No,No,No,Final Performance Spec (Final%20Performance%20Spec%20370b4fe015dd80b6ac39eef9a58b22d2.csv),Not started,
Cache strategy,No,No,No,Final Performance Spec (Final%20Performance%20Spec%20370b4fe015dd80b6ac39eef9a58b22d2.csv),Not started,
Thumbnail strategy,No,No,No,Final Performance Spec (Final%20Performance%20Spec%20370b4fe015dd80b6ac39eef9a58b22d2.csv),Not started,
Large catalog handling,No,No,No,Final Performance Spec (Final%20Performance%20Spec%20370b4fe015dd80b6ac39eef9a58b22d2.csv),Not started,
Parent/child layout,No,No,No,Final Category Management Spec (Final%20Category%20Management%20Spec%20370b4fe015dd80faafbfe91f954108b0.csv),Not started,
Show in videos/images/performer only,No,No,No,Final Category Management Spec (Final%20Category%20Management%20Spec%20370b4fe015dd80faafbfe91f954108b0.csv),Not started,
Parent chips,No,No,No,Final Category Management Spec (Final%20Category%20Management%20Spec%20370b4fe015dd80faafbfe91f954108b0.csv),Not started,
Filter sync rule,No,No,No,Final Category Management Spec (Final%20Category%20Management%20Spec%20370b4fe015dd80faafbfe91f954108b0.csv),Not started,
Full UI translation,No,No,No,Final Translation Spec (Final%20Translation%20Spec%20370b4fe015dd8043bc82f6520ca1e811.csv),Not started,
User data not translated,No,No,No,Final Translation Spec (Final%20Translation%20Spec%20370b4fe015dd8043bc82f6520ca1e811.csv),Not started,
Remove MVP/planning/dummy text.,No,No,No,Final Translation Spec (Final%20Translation%20Spec%20370b4fe015dd8043bc82f6520ca1e811.csv),Not started,
Empty value = n/a,No,No,No,Final Translation Spec (Final%20Translation%20Spec%20370b4fe015dd8043bc82f6520ca1e811.csv),Not started,
Full smoke checklist,No,No,No,Final Release Spec (Final%20Release%20Spec%20370b4fe015dd80628832e4b85b5e1751.csv),Not started,
Installer checklist,No,No,No,Final Release Spec (Final%20Release%20Spec%20370b4fe015dd80628832e4b85b5e1751.csv),Not started,
Backup/restore/import/export validation,No,No,No,Final Release Spec (Final%20Release%20Spec%20370b4fe015dd80628832e4b85b5e1751.csv),Not started,
Clean instal validation,No,No,No,Final Release Spec (Final%20Release%20Spec%20370b4fe015dd80628832e4b85b5e1751.csv),Not started,
Low risk: implement directly,No,No,No,Audit Policy (Audit%20Policy%20370b4fe015dd808381ebe39bc319f38f.csv),Not started,
Unknow/high risk: audit first.,No,No,No,Audit Policy (Audit%20Policy%20370b4fe015dd808381ebe39bc319f38f.csv),Not started,
If one revision fails: stop and trace root cause.,No,No,No,Audit Policy (Audit%20Policy%20370b4fe015dd808381ebe39bc319f38f.csv),Not started,
State Behavior,No,No,No,Final Form Spec (Final%20Form%20Spec%20370b4fe015dd80d08428c8e78f957e47.csv),Not started,
Global Rule Form,No,No,No,Final Form Spec (Final%20Form%20Spec%20370b4fe015dd80d08428c8e78f957e47.csv),Not started,
Glossary Page,No,Yes,Yes,,In progress,Glossary Library Page (Glossary%20Library%20Page%20372b4fe015dd8063b50de13ea7e9f673.csv)
Glossary Library Page,No,Yes,Yes,Glossary Page (Glossary%20Page%20372b4fe015dd803fbf4bec6f6602bedb.csv),In progress,
Category Management Merge,No,Yes,Yes,,In progress,Category Management Merge (Category%20Management%20Merge%20372b4fe015dd80b1bb60d5de339d4485.csv)
Category Management Merge,No,Yes,Yes,Category Management Merge (Category%20Management%20Merge%20372b4fe015dd801282c4c8d70cf2bf48.csv),In progress,
